,gas,contrast,sample,auc1,auc2,m1,lam1,mu1,Q,chi1,aic1,m1f,lam1f,mu1f,chi1f,aic1f,m2,lam2,mu2,chi2,aic2,m2f,lam2f,mu2f,chi2f,aic2f,cc_auc,cc_ldrw,cc_fpt
0,hyper,air,s4,0.0005327692503101298,0.0010336224176980327,0.00015955608565998425,5.230878709324419,3.3385356150301186,2.8,1.2623237615990468e-06,-18361.841445668193,0.00015955608565998425,5.230878709324419,3.3385356150301186,1.2623237615990468e-06,-18361.841445668193,0.00010319969688721287,19.41345243736196,8.956469767590823,1.1219296230181545e-07,-20542.70229604257,0.00010319969688721287,19.41345243736196,8.956469767590823,1.1219296230181545e-07,-20542.70229604257,194.0093984584042,64.67926087578543,64.67926087578543
0,hyper,def,s3,6.818237967499346e-05,1.4877339900332694e-05,1.972984099452013e-05,4.774724317631846,3.103155905669137,2.8,2.1248247741213653e-08,-18816.567977019266,1.972984099452013e-05,4.774724317631846,3.103155905669137,2.1248247741213653e-08,-18816.567977019266,1.408720713635958e-06,15.419098805333196,9.087131034549987,9.163027643285958e-11,-23031.97938262982,1.408720713635958e-06,15.419098805333196,9.087131034549987,9.163027643285958e-11,-23031.97938262982,21.819918828367175,7.140051022343381,7.140051022343381
0,mix,air,s3,0.0019361664209365478,0.0018210083222184835,0.0007134183153458817,5.248395181340867,2.920088985569684,2.8,1.6012008242459207e-05,-17716.60004821655,0.0007134183153458817,5.248395181340867,2.920088985569684,1.6012008242459207e-05,-17716.60004821655,0.00019464074631048156,17.774389785384468,8.2608380417007,4.895918818812042e-07,-21162.271868141517,0.00019464074631048156,17.774389785384468,8.2608380417007,4.895918818812042e-07,-21162.271868141517,94.05226237410103,27.282835627245593,27.282835627245593
0,hyper,air,s1,0.0005609644804230623,0.0010288704182021104,0.0001645202368225629,4.068395072076143,3.692812080741951,2.8,1.794618636433603e-06,-19393.24650459081,0.0001645202368225629,4.068395072076143,3.692812080741951,1.794618636433603e-06,-19393.24650459081,0.0001031750555120503,16.28146929040604,8.981354562591713,1.2817450921124339e-07,-21940.031205936462,0.0001031750555120503,16.28146929040604,8.981354562591713,1.2817450921124339e-07,-21940.031205936462,183.41097415404408,62.7126835608229,62.7126835608229
0,hyper,air,s6,-0.00530962692835435,0.0029778227323089997,9.461985999315026e-05,7.5104156693276956,1.9960034934423598,1.8,6.612400591117378e-05,-23180.858654543208,9.461985999315026e-05,7.5104156693276956,1.9960034934423598,6.612400591117378e-05,-23180.858654543208,0.00014794395821104978,20.613045726386044,11.235065251283059,1.0007152430532182e-06,-28947.42266655861,0.00014794395821104978,20.613045726386044,11.235065251283059,1.0007152430532182e-06,-28947.42266655861,-56.08346447858508,156.35613730749526,156.35613730749526
0,hyper,def,s2,0.0006466871125841386,0.0003428968180782917,0.0004082440230839257,5.166778050248323,3.607050941100014,6.8,1.097504575303401e-06,-13930.307128435254,0.0004082440230839257,5.166778050248323,3.607050941100014,1.097504575303401e-06,-13930.307128435254,0.00013054128385281416,14.214736527220486,5.722180789440301,3.251476843065267e-08,-16351.447869549262,0.00013054128385281416,14.214736527220486,5.722180789440301,3.251476843065267e-08,-16351.447869549262,53.02360467770701,31.97628782576881,31.97628782576881
0,room,air,s2,0.0016760005837401241,0.0020443072272125734,0.001078357119687956,2.7999295718625588,3.6121635323817465,6.8,1.8312877014389788e-05,-17960.21856847143,0.001078357119687956,2.7999295718625588,3.6121635323817465,1.8312877014389788e-05,-17960.21856847143,0.0007023334588003305,8.403667161831692,6.2174190266226725,4.1396465043159e-06,-19459.108596697526,0.0007023334588003305,8.403667161831692,6.2174190266226725,4.1396465043159e-06,-19459.108596697526,121.9753290688327,65.12995054955121,65.12995054955121
0,hyper,air,s4,0.0023802043186574623,0.00029307376183692767,0.0014471934812041454,2.319419907239986,3.9172306639313508,6.8,2.440123115049528e-05,-10366.911399735194,0.0014471934812041454,2.319419907239986,3.9172306639313508,2.440123115049528e-05,-10366.911399735194,0.00010501159347486855,10.244464807759794,6.128549975923085,7.008298441850638e-08,-13931.211080490135,0.00010501159347486855,10.244464807759794,6.128549975923085,7.008298441850638e-08,-13931.211080490135,12.312966560880534,7.256223500087429,7.256223500087429
0,mix,sf6,s1,0.001031579536878473,0.004642351459764458,0.0009024876840859619,6.005379396518664,2.98454544449902,2.8,3.22772202776263e-05,-24019.163375268447,0.0009024876840859619,6.005379396518664,2.98454544449902,3.22772202776263e-05,-24019.163375268447,0.00046628648036395326,11.623798335376627,8.680010720289806,1.8907881067595474e-06,-27900.68279516057,0.00046628648036395326,11.623798335376627,8.680010720289806,1.8907881067595474e-06,-27900.68279516057,450.0236088253618,51.666797075043455,51.666797075043455
0,mix,air,s2,0.0011165826279475682,0.002951611743582449,0.0007190706461124297,5.340990310633548,2.823802784686445,1.8,4.93114728620021e-05,-23747.870752190098,0.0007190706461124297,5.340990310633548,2.823802784686445,4.93114728620021e-05,-23747.870752190098,0.00012823528174754628,16.0063604905124,12.965731529121028,6.734512500767658e-07,-29694.363318735956,0.00012823528174754628,16.0063604905124,12.965731529121028,6.734512500767658e-07,-29694.363318735956,264.3433338209744,17.833474699716245,17.833474699716245
0,room,sf6,s4,0.0017821751348436493,0.0034467885482910485,0.000958755930125843,5.330162429342407,3.1328821619653064,4.3,1.642009070917998e-05,-21531.469083742773,0.000958755930125843,5.330162429342407,3.1328821619653064,1.642009070917998e-05,-21531.469083742773,0.0006342367441898311,18.04613237174557,7.08061660152544,3.497612284123158e-06,-23371.714949372566,0.0006342367441898311,18.04613237174557,7.08061660152544,3.497612284123158e-06,-23371.714949372566,193.4034697770282,66.15205437181321,66.15205437181321
0,room,sf6,s2,0.0017502305757502085,0.003395082216711872,0.0012837381120334168,1.68811919010128,3.250949776357846,6.8,2.6389149400153728e-05,-18146.137834331126,0.0012837381120334168,1.68811919010128,3.250949776357846,2.6389149400153728e-05,-18146.137834331126,0.0012231378279465854,6.975409363650213,5.568160733775445,1.0352210317111827e-05,-19117.44930713761,0.0012231378279465854,6.975409363650213,5.568160733775445,1.0352210317111827e-05,-19117.44930713761,193.9791398774201,95.2793888785586,95.2793888785586
0,room,sf6,s3,0.0004157069145643942,0.0034692972027493426,0.0008347953783871542,4.225349977685015,2.8874191223037364,4.3,2.5852146252242117e-05,-17354.065015107255,0.0008347953783871542,4.225349977685015,2.8874191223037364,2.5852146252242117e-05,-17354.065015107255,0.0006818894343669779,15.153319279236946,6.878948523884385,4.139501008975038e-06,-19174.892478201255,0.0006818894343669779,15.153319279236946,6.878948523884385,4.139501008975038e-06,-19174.892478201255,834.5536437335198,81.68342231175328,81.68342231175328
0,hyper,sf6,s1,0.0030638749297674977,-0.003519152808766352,0.0003006325289744982,14.583395283950036,9.169641554535989,2.8,9.73791655573408e-07,-20743.82374114929,0.0003006325289744982,14.583395283950036,9.169641554535989,9.73791655573408e-07,-20743.82374114929,4.555956193419419e-05,42.22958256508533,3.3543957253977457,4.522863387815004e-05,-16905.53545780071,4.555956193419419e-05,42.22958256508533,3.3543957253977457,4.522863387815004e-05,-16905.53545780071,-114.8595451653571,15.154568299579743,15.154568299579743
0,hyper,sf6,s5,0.0015391965286088187,0.002076305640737823,0.0005477382255376639,3.687717684358792,3.3528633501043785,2.8,1.2965194648575306e-05,-25266.907002269007,0.0005477382255376639,3.687717684358792,3.3528633501043785,1.2965194648575306e-05,-25266.907002269007,0.00020108910029970062,14.160837743908726,9.10567036369241,4.3316335388547817e-07,-29916.614232030082,0.00020108910029970062,14.160837743908726,9.10567036369241,4.3316335388547817e-07,-29916.614232030082,134.89542122437496,36.71262857404375,36.71262857404375
0,mix,def,s4,0.0003343709134523756,0.0005419542643877767,9.042453268337525e-05,4.265667285905538,3.537261763899222,2.8,1.3202348823424613e-07,-26004.50600691142,9.042453268337525e-05,4.265667285905538,3.537261763899222,1.3202348823424613e-07,-26004.50600691142,4.827724988443194e-05,14.530205138992324,9.884592575338806,1.6628611352000864e-08,-28360.20521103259,4.827724988443194e-05,14.530205138992324,9.884592575338806,1.6628611352000864e-08,-28360.20521103259,162.0817608780936,53.38954866759054,53.38954866759054
0,mix,sf6,s1,0.0018512873309361993,0.0015939300114643804,0.0007407954366125402,4.36219684724049,3.6907999105655485,4.3,1.5169722908930893e-05,-15008.534775670538,0.0007407954366125402,4.36219684724049,3.6907999105655485,1.5169722908930893e-05,-15008.534775670538,0.0002794105365566679,15.39473442282786,7.80911709520317,7.527593652682767e-07,-17537.32280418366,0.0002794105365566679,15.39473442282786,7.80911709520317,7.527593652682767e-07,-17537.32280418366,86.09846698720328,37.71763738642043,37.71763738642043
0,mix,def,s2-2,0.00036802787737353455,0.0016934724286259588,0.0002498088698259515,4.524104031259566,3.278274289745072,6.8,1.5576243646104285e-07,-25460.93375388342,0.0002498088698259515,4.524104031259566,3.278274289745072,1.5576243646104285e-07,-25460.93375388342,0.0005809094484123811,11.40829331914276,5.787973893558904,6.759343160134724e-07,-23814.102655486357,0.0005809094484123811,11.40829331914276,5.787973893558904,6.759343160134724e-07,-23814.102655486357,460.14786725168307,232.54156220198112,232.54156220198112
0,mix,air,s4,0.0018764359818213092,0.0023042537607761665,0.0007764919452588614,4.435000779258235,2.774078487383541,2.8,1.5026956122621856e-05,-20525.54376586478,0.0007764919452588614,4.435000779258235,2.774078487383541,1.5026956122621856e-05,-20525.54376586478,0.00024725986829099433,16.64451434305268,8.236106808144696,5.661975123580992e-07,-24236.984580009226,0.00024725986829099433,16.64451434305268,8.236106808144696,5.661975123580992e-07,-24236.984580009226,122.79948706481359,31.843198091200364,31.843198091200364
0,mix,def,s3-2,8.219567374773815e-05,8.076412154154781e-05,3.786544488604271e-05,6.661326372929828,3.126212356744202,4.3,4.038222639511914e-08,-17653.78313214809,3.786544488604271e-05,6.661326372929828,3.126212356744202,4.038222639511914e-08,-17653.78313214809,1.602446588711004e-05,19.932646647477096,6.9295718394422225,1.0013328207188721e-09,-20415.485319316766,1.602446588711004e-05,19.932646647477096,6.9295718394422225,1.0013328207188721e-09,-20415.485319316766,98.25836064002124,42.31949719681412,42.31949719681412
0,mix,def,s4,0.000440693098470851,0.0005516750074166444,6.868030677198433e-05,11.039044097676914,3.996571684849207,1.8,2.892189742156343e-07,-30143.382861274902,6.868030677198433e-05,11.039044097676914,3.996571684849207,2.892189742156343e-07,-30143.382861274902,1.8975068122983885e-05,14.235809064124808,16.786156736095652,3.2543048315073305e-08,-33101.358775959576,1.8975068122983885e-05,14.235809064124808,16.786156736095652,3.2543048315073305e-08,-33101.358775959576,125.18349148894923,27.628106243002513,27.628106243002513
0,mix,sf6,s4,0.001806355447882961,0.003446597499393939,0.0010827601381664387,3.0834805844063453,3.904172085982605,6.8,1.2485466494550931e-05,-18538.438196057195,0.0010827601381664387,3.0834805844063453,3.904172085982605,1.2485466494550931e-05,-18538.438196057195,0.0011315564108895781,10.658002433182142,6.534633314246692,9.649039245495143e-06,-18800.78385801778,0.0011315564108895781,10.658002433182142,6.534633314246692,9.649039245495143e-06,-18800.78385801778,190.80394744197955,104.50665581444214,104.50665581444214
0,mix,def,s3,6.52209521697328e-05,4.454487490899823e-05,2.2084476862360702e-05,63.072503892343605,1.4994552844099385,1.8,3.3298519156686035e-08,-26409.94976013723,2.2084476862360702e-05,63.072503892343605,1.4994552844099385,3.3298519156686035e-08,-26409.94976013723,2.0616261320327567e-06,22.41790013182715,11.938070042367846,7.392730065763762e-10,-30564.042369805436,2.0616261320327567e-06,22.41790013182715,11.938070042367846,7.392730065763762e-10,-30564.042369805436,68.29841243818922,9.33518210497643,9.33518210497643
0,room,air,s1,0.001688739120129425,0.002057272023979554,0.0005749194349546904,1.0387384664325907,4.4234472111289,4.3,1.0789434566683094e-05,-20842.148714125608,0.0005749194349546904,1.0387384664325907,4.4234472111289,1.0789434566683094e-05,-20842.148714125608,0.0004312766353993247,8.9476929862713,6.515964604800199,1.4301500779462802e-06,-23123.618350388126,0.0004312766353993247,8.9476929862713,6.515964604800199,1.4301500779462802e-06,-23123.618350388126,121.82296243731743,75.01514284924352,75.01514284924352
0,hyper,sf6,s4,0.0030598275830839012,0.001508469613147323,0.001230345434073854,4.3634603445229745,3.601452660442267,4.3,3.3689036963514635e-05,-19355.115639210428,0.001230345434073854,4.3634603445229745,3.601452660442267,3.3689036963514635e-05,-19355.115639210428,0.00028901064596631443,16.776748412416445,7.097378937668889,6.266836225147197e-07,-23809.770905334008,0.00028901064596631443,16.776748412416445,7.097378937668889,6.266836225147197e-07,-23809.770905334008,49.299170367860576,23.490203479632367,23.490203479632367
0,hyper,sf6,s3,0.0013611090291768642,0.006582419211286592,0.00033307490416878416,4.210704659539304,3.6103253971443188,1.8,1.3742196030555532e-05,-23752.529613297116,0.00033307490416878416,4.210704659539304,3.6103253971443188,1.3742196030555532e-05,-23752.529613297116,0.0002947911276831583,17.48578428789915,12.397975255585793,4.7130858273088004e-06,-25137.275559790054,0.0002947911276831583,17.48578428789915,12.397975255585793,4.7130858273088004e-06,-25137.275559790054,483.60704911841896,88.50595586564344,88.50595586564344
0,hyper,sf6,s3,0.0008609259094811586,0.0005169991735411768,0.0006368965443570573,5.459227792366061,3.0376797739593675,6.8,2.4635803810000905e-06,-17821.534665144412,0.0006368965443570573,5.459227792366061,3.0376797739593675,2.4635803810000905e-06,-17821.534665144412,0.0001937739280042372,14.676072760908568,5.632472877509644,1.2446369815456293e-07,-20520.297318955894,0.0001937739280042372,14.676072760908568,5.632472877509644,1.2446369815456293e-07,-20520.297318955894,60.05152915571435,30.424710217237973,30.424710217237973
0,room,air,s4,0.0008628678441533098,0.0012361851383356373,0.0003365415525600213,5.9265104241295745,3.2070973122723787,2.8,4.77265323046923e-06,-21276.530711682815,0.0003365415525600213,5.9265104241295745,3.2070973122723787,4.77265323046923e-06,-21276.530711682815,0.00012242512112714543,17.259896322685336,9.081340262893358,2.2403652646727627e-07,-24656.55836926458,0.00012242512112714543,17.259896322685336,9.081340262893358,2.2403652646727627e-07,-24656.55836926458,143.26471274968483,36.37741616031537,36.37741616031537
0,room,sf6,s1,0.0013768724064532952,0.0042707093579592076,0.0010593362520450178,2.6804104993232603,3.040275303832143,6.8,8.932513851263487e-06,-14121.418918868187,0.0010593362520450178,2.6804104993232603,3.040275303832143,8.932513851263487e-06,-14121.418918868187,0.001573302811104238,9.806120117946252,5.703955848609214,1.3664151304521661e-05,-13792.833741873605,0.001573302811104238,9.806120117946252,5.703955848609214,1.3664151304521661e-05,-13792.833741873605,310.17466382089736,148.5177919727587,148.5177919727587
0,mix,air,s3,0.002684593705096634,0.003436066132321482,0.000881192248241458,4.332120910695941,2.6288061159098013,1.8,4.294320788912528e-05,-22624.476642352398,0.000881192248241458,4.332120910695941,2.6288061159098013,4.294320788912528e-05,-22624.476642352398,0.00015388800355875532,14.658166674849511,12.392650529423493,1.0567130614463108e-06,-27488.76781941646,0.00015388800355875532,14.658166674849511,12.392650529423493,1.0567130614463108e-06,-27488.76781941646,127.9920356588111,17.46361294778299,17.46361294778299
0,hyper,sf6,s4,0.001013724903064701,0.006125451684487345,0.0002995996940267087,5.581354007349623,3.1928954958348825,1.8,1.0525666703561912e-05,-25119.225221514396,0.0002995996940267087,5.581354007349623,3.1928954958348825,1.0525666703561912e-05,-25119.225221514396,0.0002811144661747367,18.499875892550897,11.987200640682113,6.697504598482159e-06,-25727.72720759671,0.0002811144661747367,18.499875892550897,11.987200640682113,6.697504598482159e-06,-25727.72720759671,604.2518701048807,93.83002445579129,93.83002445579129
0,room,def,s3,3.235689899293493e-05,0.0009563257239256629,0.00010463273408101159,0.5614473046266186,2.313500396724825,1.8,1.1429086274824038e-06,-28348.46855958196,0.00010463273408101159,0.5614473046266186,2.313500396724825,1.1429086274824038e-06,-28348.46855958196,4.043277686527347e-05,12.828386577950667,13.173512595751873,8.77964039886093e-08,-31830.952826345296,4.043277686527347e-05,12.828386577950667,13.173512595751873,8.77964039886093e-08,-31830.952826345296,2955.5543135776848,38.642569383658184,38.642569383658184
0,mix,air,s2,0.0015912850921199078,0.0019115860543806981,0.0007274850839407154,4.647375417813694,2.6874684592628046,2.8,1.3956748336309212e-05,-18922.098119472594,0.0007274850839407154,4.647375417813694,2.6874684592628046,1.3956748336309212e-05,-18922.098119472594,0.00021298334572539268,17.633867842939342,7.9086138187357555,5.298572096976713e-07,-22337.137865042005,0.00021298334572539268,17.633867842939342,7.9086138187357555,5.298572096976713e-07,-22337.137865042005,120.12844611232335,29.27666153258879,29.27666153258879
0,mix,air,s5,0.002695394972151193,0.0030910227607626488,0.0008155153980480279,5.741805698060591,2.8597787853231664,1.8,4.87360701890624e-05,-22820.66318883563,0.0008155153980480279,5.741805698060591,2.8597787853231664,4.87360701890624e-05,-22820.66318883563,0.00013821666637792163,19.184798317296064,12.093418119926763,1.2984247310097362e-06,-27653.144943048286,0.00013821666637792163,19.184798317296064,12.093418119926763,1.2984247310097362e-06,-27653.144943048286,114.67791521090898,16.94838217754678,16.94838217754678
0,hyper,sf6,s5,0.0018537008528648072,0.005724587167711887,0.0003728116794401437,3.0643088339968028,3.519938616013043,1.8,1.947922278179069e-05,-24462.20909882939,0.0003728116794401437,3.0643088339968028,3.519938616013043,1.947922278179069e-05,-24462.20909882939,0.00026343996137745407,17.43536761504215,12.151926575887774,3.851491977373249e-06,-26658.512066924184,0.00026343996137745407,17.43536761504215,12.151926575887774,3.851491977373249e-06,-26658.512066924184,308.81936310623195,70.66301189197328,70.66301189197328
